market_price,I_current,I_old,entry_price,short_size,collateral,notional,equity,leverage,pnl,collateral_status,short_status,order_status,withdrawal_fees,funding_rates,maker_taker_fees,costs,gas_fees,total_costs_from_aave_n_dydx,total_stgy_pnl,index_of_mkt_price
1572.49,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.094711666727136,133
1570.09,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.2101668662187555,134
1568.91,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.326713875530302,135
1569.46,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.44435120174877,136
1571.75,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.563072628250175,137
1572.47,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.682876200609415,138
1572.18,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.803762706325575,139
1572.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-6.925731819839395,140
1578.26,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.0487673612967905,141
1576.11,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.172875167681075,142
1577.43,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.298051655701003,143
1577.9,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.424295549625362,144
1574.75,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.5516154012142565,145
1574.35,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.680012296592194,146
1575.35,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.8094835211963725,147
1575.67,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-7.940028206512088,148
1576.12,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.071645131103647,149
1573.64,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.204341027831187,150
1576.81,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.338107291066235,151
1577.28,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.472942645077495,152
1581.24,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.608836339562545,153
1581.53,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.745787587449787,154
1579.56,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-8.883801737063333,155
1578.99,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.022880336039746,156
1579.42,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.16302221723869,157
1578.96,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.304228629671297,158
1578.96,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.446499573551307,159
1579.53,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.589833501669576,160
1575.44,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.734241517677871,161
1570.91,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-9.879735919730077,162
1573.03,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.026310952712738,163
1575.45,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.17396004707916,164
1574.72,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.32268518483048,165
1575.45,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.47248438439323,166
1575.72,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.623356912991404,167
1573.88,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.775307766028893,168
1573.88,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-10.928336943719572,169
1575.08,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.082441188544603,170
1572.78,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.237626744705588,171
1572.72,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.39389377530307,172
1573.17,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.551241058901152,173
1571.91,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.709672016333203,174
1565.95,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-11.869202827886385,175
1569.83,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.02982296043841,176
1571.18,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.191528749253717,177
1571.56,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.354319162930809,178
1569.4,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.518200065603006,179
1570.43,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.683168661263457,180
1570.0,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-12.849226117480468,181
1572.63,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.016365294603007,182
1571.16,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.18459018356805,183
1573.02,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.353895735103164,184
1575.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.524275759729214,185
1576.55,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.695726864187947,186
1577.27,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-13.868247094053228,187
1577.54,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-14.041835716548857,188
1579.28,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-14.21648800817533,189
